T0,Ts,Td,Center_of_Mass
1855.673261,0.229852,4.984533,1861.2864172942946
1867.07145,0.168778,4.036577,1867.074403187096
1878.507165,0.263161,4.656214,1878.5071650005916
1889.439417,0.229039,4.467051,1889.4394169999998
1901.564596,0.291155,4.964531,1901.564596
1913.640719,0.204343,4.118437,1913.6407190000004
1923.159787,0.242016,4.527282,1923.1597869999998
1933.744599,0.197638,4.455716,1933.7445989999997
1943.990339,0.174943,4.247696,1943.990338998556
1954.267163,0.140682,3.906247,1954.2572521682964
